age,job,marital,education,smoker,monthlyincome,houseowner,loan,contact,MOD,monthlyhouseholdincome,target_buy
30,unemployed,married,primary,no,6787,no,no,cellphone,79,6915,yes
33,services,married,secondary,no,9789,yes,yes,cellphone,220,10049,yes
35,services,single,Graduate,no,6350,yes,no,cellphone,185,6587,yes
59,blue-collar,married,secondary,no,5000,yes,no,unknown,226,5193,yes
36,self-employed,married,Graduate,no,5307,yes,no,cellphone,341,5326,yes
39,technician,married,secondary,no,5147,yes,no,cellphone,151,6002,yes
41,entrepreneur,married,Graduate,no,5221,yes,no,unknown,57,5380,yes
43,services,married,primary,no,4912,yes,yes,cellphone,313,5828,yes
39,services,married,secondary,no,14374,yes,no,unknown,273,14834,yes
43,admin.,married,secondary,no,5264,yes,no,cellphone,113,5656,yes
36,technician,married,Graduate,no,6109,no,no,cellphone,328,6520,yes
20,student,single,secondary,no,5502,no,no,cellphone,261,5850,no
31,blue-collar,married,secondary,no,5360,yes,yes,cellphone,89,6274,yes
40,management,married,Graduate,no,5194,no,yes,cellphone,189,5844,yes
56,technician,married,secondary,no,9073,no,no,cellphone,239,9395,yes
37,admin.,single,Graduate,no,7317,yes,no,cellphone,114,7789,yes
25,blue-collar,single,primary,no,4779,yes,no,unknown,250,5187,yes
31,services,married,secondary,no,5132,no,no,cellphone,148,5465,yes
38,management,divorced,unknown,no,5000,yes,no,cellphone,96,5286,yes
42,management,divorced,Graduate,no,5016,no,no,cellphone,140,5533,yes
44,services,single,secondary,no,5106,no,no,unknown,109,5608,yes
44,entrepreneur,married,secondary,no,5093,no,no,cellphone,125,5495,yes
26,housemaid,married,Graduate,no,5543,no,no,cellphone,169,5913,yes
41,management,married,Graduate,no,10883,no,no,cellphone,182,11554,yes
55,blue-collar,married,primary,no,5627,yes,no,unknown,247,5930,yes
67,retired,married,unknown,no,5696,no,no,telephone,119,6484,yes
56,self-employed,married,secondary,no,5784,no,yes,cellphone,149,6708,yes
53,admin.,married,secondary,no,5105,no,yes,cellphone,74,5163,yes
68,retired,divorced,secondary,no,9189,no,no,telephone,897,9314,no
31,technician,married,secondary,no,5171,no,no,cellphone,81,5379,yes
59,management,married,secondary,no,5042,no,no,cellphone,40,5504,yes
32,management,single,Graduate,no,7536,yes,no,cellphone,958,7767,no
49,technician,married,Graduate,no,6235,no,no,cellphone,354,7228,no
42,admin.,divorced,secondary,no,6811,yes,no,unknown,150,6975,yes
78,retired,divorced,primary,no,5229,no,no,telephone,97,6162,no
32,blue-collar,married,secondary,no,7089,yes,no,cellphone,132,7210,no
33,management,married,secondary,no,8935,yes,no,cellphone,765,9749,no
23,services,single,Graduate,no,-1,yes,no,unknown,16,513,yes
38,management,single,Graduate,no,16971,yes,no,unknown,609,17463,yes
36,management,single,Graduate,no,5553,no,no,cellphone,106,6526,yes
52,blue-collar,married,secondary,no,6117,yes,no,cellphone,365,6479,yes
32,technician,married,Graduate,no,5396,yes,no,cellphone,205,6066,yes
32,technician,single,Graduate,no,7204,yes,no,cellphone,11,7300,yes
34,management,single,Graduate,no,5872,yes,no,unknown,105,6026,yes
55,blue-collar,married,primary,no,5145,no,no,telephone,59,5462,yes
26,blue-collar,married,primary,no,5000,yes,no,unknown,425,5049,yes
32,entrepreneur,single,primary,yes,4151,yes,yes,cellphone,204,4536,yes
61,admin.,married,unknown,no,9629,yes,no,cellphone,181,10064,no
45,blue-collar,divorced,primary,no,5844,no,no,unknown,1018,5861,no
37,technician,single,secondary,no,5228,yes,no,cellphone,1740,6068,yes
38,technician,single,secondary,no,5050,no,no,cellphone,98,5443,yes
34,technician,married,Graduate,no,6539,yes,no,cellphone,441,6679,no
53,blue-collar,married,secondary,no,7231,yes,no,cellphone,272,7530,yes
48,admin.,married,secondary,no,8064,yes,no,telephone,159,8667,yes
57,management,married,secondary,no,5082,no,yes,telephone,140,6040,yes
33,self-employed,single,Graduate,no,7155,no,no,cellphone,295,8073,yes
36,retired,single,secondary,no,5101,yes,yes,unknown,314,5774,yes
54,technician,divorced,secondary,no,5784,yes,yes,unknown,579,6718,yes
41,blue-collar,married,primary,no,4484,no,yes,telephone,554,4623,yes
63,retired,married,secondary,no,5415,yes,no,cellphone,323,5867,yes
48,management,married,Graduate,no,10887,no,no,cellphone,227,11505,yes
48,services,married,secondary,no,6355,no,no,cellphone,134,7268,yes
56,admin.,married,secondary,no,21873,no,no,cellphone,223,22688,yes
51,blue-collar,divorced,secondary,no,5203,yes,no,cellphone,134,5878,yes
31,services,married,secondary,no,5338,yes,no,cellphone,155,5666,yes
29,technician,married,secondary,no,5444,yes,no,cellphone,130,5740,yes
41,management,married,secondary,no,5000,no,yes,cellphone,630,5950,yes
32,technician,single,Graduate,no,5360,no,no,cellphone,164,6209,yes
37,management,married,Graduate,no,5000,no,no,cellphone,268,5376,no
42,entrepreneur,divorced,Graduate,yes,5002,yes,no,unknown,380,5553,yes
31,management,single,Graduate,no,11248,yes,no,unknown,154,11960,yes
41,services,married,Graduate,no,5412,yes,no,unknown,154,5720,yes
56,retired,married,secondary,no,5344,yes,no,unknown,221,6039,yes
54,management,divorced,Graduate,no,8222,no,no,cellphone,67,9136,yes
41,blue-collar,divorced,secondary,no,5174,yes,no,cellphone,367,5604,yes
40,technician,single,secondary,no,5591,no,yes,cellphone,87,5974,yes
50,blue-collar,divorced,primary,no,5388,no,no,cellphone,701,5719,yes
40,unemployed,married,secondary,no,5219,yes,no,cellphone,204,5991,yes
27,admin.,divorced,secondary,no,5451,yes,no,cellphone,652,6093,no
60,retired,married,primary,no,5005,no,no,cellphone,63,5856,yes
28,admin.,single,secondary,no,5177,yes,yes,cellphone,150,6173,yes
52,services,married,secondary,no,5657,no,no,telephone,398,6361,no
37,management,married,Graduate,no,6315,no,no,cellphone,224,7080,no
51,blue-collar,married,primary,no,6466,yes,no,unknown,406,7457,yes
41,technician,single,secondary,no,5879,no,yes,cellphone,60,6349,yes
35,blue-collar,single,primary,no,5293,yes,no,unknown,521,6023,yes
38,admin.,married,secondary,no,5424,yes,no,cellphone,279,5860,yes
34,blue-collar,married,secondary,no,6831,yes,no,unknown,203,7019,yes
39,blue-collar,married,primary,no,5111,no,no,cellphone,201,5744,yes
34,blue-collar,married,primary,no,5455,yes,no,unknown,372,6035,yes
27,services,single,secondary,no,4805,yes,no,cellphone,391,5274,no
32,management,single,Graduate,no,8616,no,no,cellphone,165,9227,yes
57,blue-collar,married,secondary,no,19093,no,no,cellphone,231,19383,yes
41,unknown,single,Graduate,no,6567,no,no,cellphone,291,6811,yes
41,admin.,married,Graduate,no,10426,yes,no,unknown,149,11169,yes
30,admin.,single,Graduate,no,5261,no,no,cellphone,233,5930,yes
36,blue-collar,divorced,secondary,no,7843,no,no,cellphone,473,8591,yes
31,unemployed,single,primary,no,5406,no,no,cellphone,736,5569,no
36,blue-collar,married,secondary,no,5000,yes,no,unknown,337,5663,yes
38,management,single,Graduate,no,5493,yes,no,cellphone,553,5571,yes
49,technician,married,secondary,no,10996,no,no,telephone,345,11025,yes
57,services,single,primary,no,8777,yes,no,telephone,65,9440,yes
34,management,single,secondary,no,5524,no,no,unknown,9,6486,yes
32,management,single,Graduate,no,5574,yes,no,cellphone,259,5663,yes
37,blue-collar,married,secondary,no,5427,yes,yes,unknown,371,6382,yes
33,self-employed,married,Graduate,no,5483,yes,no,cellphone,280,5924,yes
56,unemployed,married,primary,no,8391,no,no,cellphone,243,9128,no
27,housemaid,married,primary,no,5000,yes,no,cellphone,435,5415,yes
21,student,single,secondary,no,7488,no,no,cellphone,258,7889,no
58,management,married,Graduate,no,6517,yes,no,telephone,7,7285,yes
32,self-employed,married,secondary,no,5217,yes,yes,cellphone,317,5296,yes
33,blue-collar,single,secondary,no,5022,no,no,cellphone,76,5793,yes
